,PhraseId,SentenceId,Phrase,Sentiment,final_subject,final_Phrase
271,272.0,11.0,"['[', ""'there"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'little"", ""'"", ',', ""'to"", ""'"", ',', ""'recommend"", ""'"", ',', ""'snow"", ""'"", ',', ""'dogs"", ""'"", ',', ""'"", ',', ""'"", ',', ""'unless"", ""'"", ',', ""'one"", ""'"", ',', ""'considers"", ""'"", ',', ""'cliched"", ""'"", ',', ""'dialogue"", ""'"", ',', ""'and"", ""'"", ',', ""'perverse"", ""'"", ',', ""'escapism"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'source"", ""'"", ',', ""'of"", ""'"", ',', ""'high"", ""'"", ',', ""'hilarity"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['first', 'minute', 'worth', 'see']",[]
306,307.0,12.0,"['[', ""'kung"", ""'"", ',', ""'pow"", ""'"", ',', ""'is"", ""'"", ',', ""'oedekerk"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'realization"", ""'"", ',', ""'of"", ""'"", ',', ""'his"", ""'"", ',', ""'childhood"", ""'"", ',', ""'dream"", ""'"", ',', ""'to"", ""'"", ',', ""'be"", ""'"", ',', ""'in"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'martial-arts"", ""'"", ',', ""'flick"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'proves"", ""'"", ',', ""'that"", ""'"", ',', ""'sometimes"", ""'"", ',', ""'the"", ""'"", ',', ""'dreams"", ""'"", ',', ""'of"", ""'"", ',', ""'youth"", ""'"", ',', ""'should"", ""'"", ',', ""'remain"", ""'"", ',', ""'just"", ""'"", ',', ""'that"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['effort', 'still', 'burden', 'actor', 'offbeat', 'sensibility', 'earnest', 'emotional', 'core', 'emerge', 'degree', 'accessibility']",[]
352,353.0,13.0,"['[', ""'the"", ""'"", ',', ""'performances"", ""'"", ',', ""'are"", ""'"", ',', ""'an"", ""'"", ',', ""'absolute"", ""'"", ',', ""'joy"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['movie', 'audience', 'hour', 'connect', 'neat', 'way', 'introduces', 'character', 'illuminate', 'mystery', 'sex', 'duty', 'love']",[]
363,364.0,14.0,"['[', ""'fresnadillo"", ""'"", ',', ""'has"", ""'"", ',', ""'something"", ""'"", ',', ""'serious"", ""'"", ',', ""'to"", ""'"", ',', ""'say"", ""'"", ',', ""'about"", ""'"", ',', ""'the"", ""'"", ',', ""'ways"", ""'"", ',', ""'in"", ""'"", ',', ""'which"", ""'"", ',', ""'extravagant"", ""'"", ',', ""'chance"", ""'"", ',', ""'can"", ""'"", ',', ""'distort"", ""'"", ',', ""'our"", ""'"", ',', ""'perspective"", ""'"", ',', ""'and"", ""'"", ',', ""'throw"", ""'"", ',', ""'us"", ""'"", ',', ""'off"", ""'"", ',', ""'the"", ""'"", ',', ""'path"", ""'"", ',', ""'of"", ""'"", ',', ""'good"", ""'"", ',', ""'sense"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['resident', 'evil', 'come', 'take', 'john', 'carpenter', 'ghost', 'mar', 'eliminate', 'beheading']",[]
407,408.0,15.0,"['[', ""'"", 'i', ""'"", ',', ""'still"", ""'"", ',', ""'like"", ""'"", ',', ""'moonlight"", ""'"", ',', ""'mile"", ""'"", ',', ""'"", ',', ""'"", ',', ""'better"", ""'"", ',', ""'judgment"", ""'"", ',', ""'be"", ""'"", ',', ""'damned"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['consistently', 'clever', 'suspenseful']",[]
423,424.0,16.0,"['[', ""'"", 'a', ""'"", ',', ""'welcome"", ""'"", ',', ""'relief"", ""'"", ',', ""'from"", ""'"", ',', ""'baseball"", ""'"", ',', ""'movies"", ""'"", ',', ""'that"", ""'"", ',', ""'try"", ""'"", ',', ""'too"", ""'"", ',', ""'hard"", ""'"", ',', ""'to"", ""'"", ',', ""'be"", ""'"", ',', ""'mythic"", ""'"", ',', ""'"", ',', ""'"", ',', ""'this"", ""'"", ',', ""'one"", ""'"", ',', ""'is"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'sweet"", ""'"", ',', ""'and"", ""'"", ',', ""'modest"", ""'"", ',', ""'and"", ""'"", ',', ""'ultimately"", ""'"", ',', ""'winning"", ""'"", ',', ""'story"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['enjoyment', 'hinge', 'personal', 'threshold', 'watch', 'sad', 'endear', 'character', 'extremely', 'unconventional', 'thing']",[]
458,459.0,17.0,"['[', ""'"", 'a', ""'"", ',', ""'bilingual"", ""'"", ',', ""'charmer"", ""'"", ',', ""'"", ',', ""'"", ',', ""'just"", ""'"", ',', ""'like"", ""'"", ',', ""'the"", ""'"", ',', ""'woman"", ""'"", ',', ""'who"", ""'"", ',', ""'inspired"", ""'"", ',', ""'it"", ""'"", ']']",3.0,"['long', 'lard', 'exposition', 'somber', 'cop', 'drama', 'ultimately', 'feels', 'flat', 'scruffy', 'sand', 'titular', 'community']",[]
473,474.0,18.0,"['[', ""'like"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'less"", ""'"", ',', ""'dizzily"", ""'"", ',', ""'gorgeous"", ""'"", ',', ""'companion"", ""'"", ',', ""'to"", ""'"", ',', ""'mr"", '.', ""'"", ',', ""'wong"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'in"", ""'"", ',', ""'the"", ""'"", ',', ""'mood"", ""'"", ',', ""'for"", ""'"", ',', ""'love"", ""'"", ',', ""'"", '--', ""'"", ',', ""'very"", ""'"", ',', ""'much"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'hong"", ""'"", ',', ""'kong"", ""'"", ',', ""'movie"", ""'"", ',', ""'despite"", ""'"", ',', ""'its"", ""'"", ',', ""'mainland"", ""'"", ',', ""'setting"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['emotionally', 'strong', 'politically', 'potent', 'piece', 'cinema']",[]
516,517.0,19.0,"['[', ""'as"", ""'"", ',', ""'inept"", ""'"", ',', ""'as"", ""'"", ',', ""'big-screen"", ""'"", ',', ""'remakes"", ""'"", ',', ""'of"", ""'"", ',', ""'the"", ""'"", ',', ""'avengers"", ""'"", ',', ""'and"", ""'"", ',', ""'the"", ""'"", ',', ""'wild"", ""'"", ',', ""'wild"", ""'"", ',', ""'west"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['intelligent', 'profoundly', 'humanist', 'mention', 'gently', 'political', 'meditation', 'value', 'knowledge', 'education', 'affect', 'cultural', 'geographical', 'displacement']",[]
536,537.0,20.0,"['[', ""'it"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'everything"", ""'"", ',', ""'you"", ""'"", ',', '``', ""'d"", ""''"", ',', ""'expect"", ""'"", ',', ""'"", '--', ""'"", ',', ""'but"", ""'"", ',', ""'nothing"", ""'"", ',', ""'more"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['u', 'complain', 'film', 'clock', 'around', 'minute', 'day', 'plotting', 'leave', 'lot', 'desire']",[]
551,552.0,21.0,"['[', ""'best"", ""'"", ',', ""'indie"", ""'"", ',', ""'of"", ""'"", ',', ""'the"", ""'"", ',', ""'year"", ""'"", ',', ""'"", ',', ""'"", ',', ""'so"", ""'"", ',', ""'far"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['story', 'incomprehensible', 'anne', 'rice', 'novel', 'base', 'upon', 'queen', 'damn', 'pointless', 'meander', 'celebration', 'torture', 'lifestyle']",[]
563,564.0,22.0,"['[', ""'hatfield"", ""'"", ',', ""'and"", ""'"", ',', ""'hicks"", ""'"", ',', ""'make"", ""'"", ',', ""'the"", ""'"", ',', ""'oddest"", ""'"", ',', ""'of"", ""'"", ',', ""'couples"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'in"", ""'"", ',', ""'this"", ""'"", ',', ""'sense"", ""'"", ',', ""'the"", ""'"", ',', ""'movie"", ""'"", ',', ""'becomes"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'study"", ""'"", ',', ""'of"", ""'"", ',', ""'the"", ""'"", ',', ""'gambles"", ""'"", ',', ""'of"", ""'"", ',', ""'the"", ""'"", ',', ""'publishing"", ""'"", ',', ""'world"", ""'"", ',', ""'"", ',', ""'"", ',', ""'offering"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'case"", ""'"", ',', ""'study"", ""'"", ',', ""'that"", ""'"", ',', ""'exists"", ""'"", ',', ""'apart"", ""'"", ',', ""'from"", ""'"", ',', ""'all"", ""'"", ',', ""'the"", ""'"", ',', ""'movie"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'political"", ""'"", ',', ""'ramifications"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['evoke', 'frustration', 'awkwardness', 'euphoria', 'grow', 'without', 'rely', 'usual', 'trope']",[]
619,620.0,23.0,"['[', ""'it"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'like"", ""'"", ',', ""'going"", ""'"", ',', ""'to"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'house"", ""'"", ',', ""'party"", ""'"", ',', ""'and"", ""'"", ',', ""'watching"", ""'"", ',', ""'the"", ""'"", ',', ""'host"", ""'"", ',', ""'defend"", ""'"", ',', ""'himself"", ""'"", ',', ""'against"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'frothing"", ""'"", ',', ""'ex-girlfriend"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['muccino', 'direct', 'screenplay', 'canny', 'crowd', 'pleaser', 'last', 'kiss', 'provide', 'enough', 'sentimental', 'catharsis', 'satisfying', 'evening', 'multiplex']",[]
647,648.0,24.0,"['[', ""'that"", ""'"", ',', ""'the"", ""'"", ',', ""'chuck"", ""'"", ',', ""'norris"", ""'"", ',', ""'"", '``', ""'"", ',', ""'grenade"", ""'"", ',', ""'gag"", ""'"", ',', ""'"", '``', ""'"", ',', ""'occurs"", ""'"", ',', ""'about"", ""'"", ',', ""'"", '7', ""'"", ',', ""'times"", ""'"", ',', ""'during"", ""'"", ',', ""'windtalkers"", ""'"", ',', ""'is"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'good"", ""'"", ',', ""'indication"", ""'"", ',', ""'of"", ""'"", ',', ""'how"", ""'"", ',', ""'serious-minded"", ""'"", ',', ""'the"", ""'"", ',', ""'film"", ""'"", ',', ""'is"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['turn', 'dime', 'oddly', 'humorous', 'tediously', 'sentimental']",[]
686,687.0,25.0,"['[', ""'the"", ""'"", ',', ""'plot"", ""'"", ',', ""'is"", ""'"", ',', ""'romantic"", ""'"", ',', ""'comedy"", ""'"", ',', ""'boilerplate"", ""'"", ',', ""'from"", ""'"", ',', ""'start"", ""'"", ',', ""'to"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['director', 'claude', 'chabrol', 'become', 'master', 'innuendo']",[]
702,703.0,26.0,"['[', ""'it"", ""'"", ',', ""'arrives"", ""'"", ',', ""'with"", ""'"", ',', ""'an"", ""'"", ',', ""'impeccable"", ""'"", ',', ""'pedigree"", ""'"", ',', ""'"", ',', ""'"", ',', ""'mongrel"", ""'"", ',', ""'pep"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'almost"", ""'"", ',', ""'indecipherable"", ""'"", ',', ""'plot"", ""'"", ',', ""'complications"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['even', 'pay', 'earnest', 'homage', 'turntablists', 'beat', 'juggler', 'old', 'schoolers', 'current', 'innovator', 'scratch', 'great', 'fun', 'full', 'kind', 'energy', 'document']",[]
725,726.0,27.0,"['[', ""'"", 'a', ""'"", ',', ""'film"", ""'"", ',', ""'that"", ""'"", ',', ""'clearly"", ""'"", ',', ""'means"", ""'"", ',', ""'to"", ""'"", ',', ""'preach"", ""'"", ',', ""'exclusively"", ""'"", ',', ""'to"", ""'"", ',', ""'the"", ""'"", ',', ""'converted"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['superior', 'plotline', 'quite', 'enough', 'drag', 'along', 'dead', 'water', 'weight']",[]
741,742.0,28.0,"['[', ""'while"", ""'"", ',', ""'the"", ""'"", ',', ""'importance"", ""'"", ',', ""'of"", ""'"", ',', ""'being"", ""'"", ',', ""'earnest"", ""'"", ',', ""'offers"", ""'"", ',', ""'opportunities"", ""'"", ',', ""'for"", ""'"", ',', ""'occasional"", ""'"", ',', ""'smiles"", ""'"", ',', ""'and"", ""'"", ',', ""'chuckles"", ""'"", ',', ""'"", ',', ""'"", ',', ""'it"", ""'"", ',', ""'does"", ""'"", ',', '``', ""n't"", ""''"", ',', ""'give"", ""'"", ',', ""'us"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'reason"", ""'"", ',', ""'to"", ""'"", ',', ""'be"", ""'"", ',', ""'in"", ""'"", ',', ""'the"", ""'"", ',', ""'theater"", ""'"", ',', ""'beyond"", ""'"", ',', ""'wilde"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'wit"", ""'"", ',', ""'and"", ""'"", ',', ""'the"", ""'"", ',', ""'actors"", ""'"", ',', '``', ""'"", ""''"", ',', ""'performances"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['vaguely', 'interesting', 'much']",[]
786,787.0,29.0,"['[', ""'the"", ""'"", ',', ""'latest"", ""'"", ',', ""'vapid"", ""'"", ',', ""'actor"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'exercise"", ""'"", ',', ""'to"", ""'"", ',', ""'appropriate"", ""'"", ',', ""'the"", ""'"", ',', ""'structure"", ""'"", ',', ""'of"", ""'"", ',', ""'arthur"", ""'"", ',', ""'schnitzler"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'reigen"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['coal', 'easy', 'come', 'use', 'would', 'worthy', 'substitute', 'naughty', 'child', 'stocking']",[]
810,811.0,30.0,"['[', ""'more"", ""'"", ',', ""'vaudeville"", ""'"", ',', ""'show"", ""'"", ',', ""'than"", ""'"", ',', ""'well-constructed"", ""'"", ',', ""'narrative"", ""'"", ',', ""'"", ',', ""'"", ',', ""'but"", ""'"", ',', ""'on"", ""'"", ',', ""'those"", ""'"", ',', ""'terms"", ""'"", ',', ""'it"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'inoffensive"", ""'"", ',', ""'and"", ""'"", ',', ""'actually"", ""'"", ',', ""'rather"", ""'"", ',', ""'sweet"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['give', 'poor', 'dana', 'carvey', 'nothing', 'really', 'funny', 'expect', 'u', 'laugh', 'act', 'goofy', 'time']",[]
839,840.0,31.0,"['[', ""'nothing"", ""'"", ',', ""'more"", ""'"", ',', ""'than"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'run-of-the-mill"", ""'"", ',', ""'action"", ""'"", ',', ""'flick"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['behind', 'music', 'special', 'something', 'little', 'special', 'behind', 'music', 'sell', 'many', 'record', 'help', 'change', 'nation']",[]
848,849.0,32.0,"['[', ""'hampered"", ""'"", ',', ""'"", '--', ""'"", ',', ""'no"", ""'"", ',', ""'"", ',', ""'"", ',', ""'paralyzed"", ""'"", ',', ""'"", '--', ""'"", ',', ""'by"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'self-indulgent"", ""'"", ',', ""'script"", ""'"", ',', ""'"", '...', ""'"", ',', ""'that"", ""'"", ',', ""'aims"", ""'"", ',', ""'for"", ""'"", ',', ""'poetry"", ""'"", ',', ""'and"", ""'"", ',', ""'ends"", ""'"", ',', ""'up"", ""'"", ',', ""'sounding"", ""'"", ',', ""'like"", ""'"", ',', ""'satire"", ""'"", ',', ""'"", '.', ""'"", ']']",0.0,"['blush', 'gush', 'imamura', 'squirt', 'screen', 'warm', 'water', 'red', 'bridge']",[]
881,882.0,33.0,"['[', ""'ice"", ""'"", ',', ""'age"", ""'"", ',', ""'is"", ""'"", ',', ""'the"", ""'"", ',', ""'first"", ""'"", ',', ""'computer-generated"", ""'"", ',', ""'feature"", ""'"", ',', ""'cartoon"", ""'"", ',', ""'to"", ""'"", ',', ""'feel"", ""'"", ',', ""'like"", ""'"", ',', ""'other"", ""'"", ',', ""'movies"", ""'"", ',', ""'"", ',', ""'"", ',', ""'and"", ""'"", ',', ""'that"", ""'"", ',', ""'makes"", ""'"", ',', ""'for"", ""'"", ',', ""'some"", ""'"", ',', ""'glacial"", ""'"", ',', ""'pacing"", ""'"", ',', ""'early"", ""'"", ',', ""'on"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['charlotte', 'sometimes', 'brilliant', 'movie']",[]
916,917.0,34.0,"['[', ""'there"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'very"", ""'"", ',', ""'little"", ""'"", ',', ""'sense"", ""'"", ',', ""'to"", ""'"", ',', ""'what"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'going"", ""'"", ',', ""'on"", ""'"", ',', ""'here"", ""'"", ',', ""'"", ',', ""'"", ',', ""'but"", ""'"", ',', ""'the"", ""'"", ',', ""'makers"", ""'"", ',', ""'serve"", ""'"", ',', ""'up"", ""'"", ',', ""'the"", ""'"", ',', ""'cliches"", ""'"", ',', ""'with"", ""'"", ',', ""'considerable"", ""'"", ',', ""'dash"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['sorvino', 'make', 'princess', 'seem', 'smug', 'cartoonish', 'film', 'really', 'come', 'alive', 'poor', 'hermocrates', 'leontine', 'pathetically', 'compare', 'note', 'budding', 'amour']",[]
944,945.0,35.0,"['[', ""'cattaneo"", ""'"", ',', ""'should"", ""'"", ',', ""'have"", ""'"", ',', ""'followed"", ""'"", ',', ""'the"", ""'"", ',', ""'runaway"", ""'"", ',', ""'success"", ""'"", ',', ""'of"", ""'"", ',', ""'his"", ""'"", ',', ""'first"", ""'"", ',', ""'film"", ""'"", ',', ""'"", ',', ""'"", ',', ""'the"", ""'"", ',', ""'full"", ""'"", ',', ""'monty"", ""'"", ',', ""'"", ',', ""'"", ',', ""'with"", ""'"", ',', ""'something"", ""'"", ',', ""'different"", ""'"", ',', ""'"", '.', ""'"", ']']",2.0,"['schmidt', 'nicholson', 'goofy', 'heartfelt', 'mesmerize', 'king', 'lear']",[]
970,971.0,36.0,"['[', ""'they"", ""'"", ',', '``', ""'re"", ""''"", ',', ""'the"", ""'"", ',', ""'unnamed"", ""'"", ',', ""'"", ',', ""'"", ',', ""'easily"", ""'"", ',', ""'substitutable"", ""'"", ',', ""'forces"", ""'"", ',', ""'that"", ""'"", ',', ""'serve"", ""'"", ',', ""'as"", ""'"", ',', ""'whatever"", ""'"", ',', ""'terror"", ""'"", ',', ""'the"", ""'"", ',', ""'heroes"", ""'"", ',', ""'of"", ""'"", ',', ""'horror"", ""'"", ',', ""'movies"", ""'"", ',', ""'try"", ""'"", ',', ""'to"", ""'"", ',', ""'avoid"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['probably', 'easy', 'make', 'worthless', 'film']",[]
1002,1003.0,37.0,"['[', ""'it"", ""'"", ',', ""'almost"", ""'"", ',', ""'feels"", ""'"", ',', ""'as"", ""'"", ',', ""'if"", ""'"", ',', ""'the"", ""'"", ',', ""'movie"", ""'"", ',', ""'is"", ""'"", ',', ""'more"", ""'"", ',', ""'interested"", ""'"", ',', ""'in"", ""'"", ',', ""'entertaining"", ""'"", ',', ""'itself"", ""'"", ',', ""'than"", ""'"", ',', ""'in"", ""'"", ',', ""'amusing"", ""'"", ',', ""'us"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['wait', 'see']",[]
1023,1024.0,38.0,"['[', ""'the"", ""'"", ',', ""'movie"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'progression"", ""'"", ',', ""'into"", ""'"", ',', ""'rambling"", ""'"", ',', ""'incoherence"", ""'"", ',', ""'gives"", ""'"", ',', ""'new"", ""'"", ',', ""'meaning"", ""'"", ',', ""'to"", ""'"", ',', ""'the"", ""'"", ',', ""'phrase"", ""'"", ',', ""'"", '`', ""'"", ',', ""'fatal"", ""'"", ',', ""'script"", ""'"", ',', ""'error"", ""'"", ',', ""'"", '.', ""'"", ',', '``', ""'"", ""''"", ']']",0.0,"['highly', 'recommend', 'irwin', 'way', 'film', 'showcases']",[]
